"relname","relrowsecurity"
"ark_action_categories",1
"ark_action_categories_cat_codigo_key",""
"ark_action_categories_cat_idauto_seq",""
"ark_action_categories_pkey",""
"ark_actions",1
"ark_actions_act_codigo_key",""
"ark_actions_act_idauto_seq",""
"ark_actions_pkey",""
"ark_clients",1
"ark_clients_clt_codigo_key",""
"ark_clients_clt_idauto_seq",""
"ark_clients_pkey",""
"ark_company",1
"ark_company_emp_codigo_key",""
"ark_company_emp_idauto_seq",""
"ark_company_pkey",""
"ark_currencies",1
"ark_currencies_mda_codigo_key",""
"ark_currencies_mda_idauto_seq",""
"ark_currencies_pkey",""
"ark_device_types",1
"ark_device_types_dty_codigo_key",""
"ark_device_types_dty_idauto_seq",""
"ark_device_types_pkey",""
"ark_employees",1
"ark_employees_emy_codigo_key",""
"ark_employees_emy_idauto_seq",""
"ark_employees_pkey",""
"ark_functional_units",1
"ark_functional_units_fun_codigo_key",""
"ark_functional_units_fun_idauto_seq",""
"ark_functional_units_pkey",""
"ark_it_assets",1
"ark_it_assets_ita_codigo_key",""
"ark_it_assets_ita_idauto_seq",""
"ark_it_assets_pkey",""
"ark_job_titles",1
"ark_job_titles_job_codigo_key",""
"ark_job_titles_job_idauto_seq",""
"ark_job_titles_pkey",""
"ark_requests",1
"ark_requests_pkey",""
"ark_requests_req_codigo_key",""
"ark_requests_req_idauto_seq",""
"ark_sessions",1
"ark_sessions_details",1
"ark_sessions_details_dts_idauto_seq",""
"ark_sessions_details_pkey",""
"ark_sessions_pkey",""
"ark_sessions_ses_idauto_seq",""
"ark_sessions_ses_numero_key",""
"ark_users",1
"ark_users_pkey",""
"ark_users_usr_auth_id_key",""
"ark_users_usr_codigo_key",""
"ark_users_usr_idauto_seq",""
"ark_users_usr_login_key",""
