"tablename","policyname","cmd"
"ark_action_categories","pol_ark_action_categories_admin","ALL"
"ark_action_categories","pol_ark_action_categories_lectura","SELECT"
"ark_actions","pol_ark_actions_admin","ALL"
"ark_actions","pol_ark_actions_lectura","SELECT"
"ark_clients","pol_ark_clients_admin","ALL"
"ark_clients","pol_ark_clients_lectura","SELECT"
"ark_company","pol_ark_company_admin","ALL"
"ark_company","pol_ark_company_lectura","SELECT"
"ark_currencies","pol_ark_currencies_admin","ALL"
"ark_currencies","pol_ark_currencies_lectura","SELECT"
"ark_device_types","pol_ark_device_types_admin","ALL"
"ark_device_types","pol_ark_device_types_lectura","SELECT"
"ark_employees","pol_ark_employees_admin","ALL"
"ark_employees","pol_ark_employees_lectura","SELECT"
"ark_functional_units","pol_ark_functional_units_admin","ALL"
"ark_functional_units","pol_ark_functional_units_lectura","SELECT"
"ark_it_assets","pol_ark_it_assets_admin","ALL"
"ark_it_assets","pol_ark_it_assets_lectura","SELECT"
"ark_job_titles","pol_ark_job_titles_admin","ALL"
"ark_job_titles","pol_ark_job_titles_lectura","SELECT"
"ark_requests","pol_ark_requests_admin","ALL"
"ark_requests","pol_ark_requests_consultor_insert","INSERT"
"ark_requests","pol_ark_requests_consultor_update","UPDATE"
"ark_requests","pol_ark_requests_lectura","SELECT"
"ark_sessions","pol_ark_sessions_admin","ALL"
"ark_sessions","pol_ark_sessions_consultor_insert","INSERT"
"ark_sessions","pol_ark_sessions_consultor_update","UPDATE"
"ark_sessions","pol_ark_sessions_lectura","SELECT"
"ark_sessions_details","pol_ark_sessions_details_admin","ALL"
"ark_sessions_details","pol_ark_sessions_details_consultor_insert","INSERT"
"ark_sessions_details","pol_ark_sessions_details_consultor_update","UPDATE"
"ark_sessions_details","pol_ark_sessions_details_lectura","SELECT"
"ark_users","pol_ark_users_admin","ALL"
"ark_users","pol_ark_users_lectura","SELECT"
